Joshua Project People Group Data

ROG3,Ctry,PoplPeoples,CntPeoples,CntPeoplesLR,PoplPeoplesLR,JPScaleCtry,ROL3OfficialLanguage,OfficialLang,RLG3Primary,ReligionPrimary,PercentChristianity,PercentEvangelical,10_40Window,ROG2,Continent,RegionCode,RegionName,PercentUrbanized,LiteracyRate,ISO3,Population,WorkersNeeded
AF,Afghanistan,37925314,72,67,37905788,1,pbt,"Pashto, Southern",6,Islam,0.0579926835477047,0.0261405852233402,Y,ASI,Asia,5,"Asia, Central",27,32,AFG,38042000,796
AL,Albania,2848527,15,3,39474,2,aln,"Albanian, Gheg",6,Islam,33.6412140610899,0.604995716159403,Y,EUR,Europe,9,"Europe, Eastern and Eurasia",60,97,ALB,2881000,3
AG,Algeria,42988270,40,36,42956132,1,arb,"Arabic, Standard",6,Islam,0.55910716894409,0.425727310245958,Y,AFR,Africa,6,"Africa, North and Middle East",73,80,DZA,43053000,874
AQ,"American Samoa",54208,9,1,964,5,smo,Samoan,1,Christianity,95.41733090909089,24.8334992268608,N,SOP,Oceania,1,"Australia and Pacific",87,97,ASM,55000,1
AN,Andorra,76378,10,2,1108,3,cat,Catalan,1,Christianity,90.596627012987,1.35771397980905,N,EUR,Europe,10,"Europe, Western",88,99,AND,77000,2
AO,Angola,31802117,62,1,375530,5,por,Portuguese,1,Christianity,91.3741302482983,24.3116008317252,N,AFR,Africa,7,"Africa, East and Southern",66,70,AGO,31825000,8
AV,Anguilla,14519,5,,,5,eng,English,1,Christianity,90.5840740410767,33.5121438524158,N,NAR,"North America",12,"America, North and Caribbean",100,95,AIA,15000,
AC,"Antigua and Barbuda",95410,5,,,5,eng,English,1,Christianity,92.9296210260953,24.7720718318581,N,NAR,"North America",12,"America, North and Caribbean",25,97,ATG,97000,
AR,Argentina,44702858,84,2,180820,5,spa,Spanish,1,Christianity,93.08425405855709,11.0437087656502,N,LAM,"South America",11,"America, Latin",92,98,ARG,44781000,5
AM,Armenia,2911597,16,4,38602,4,hye,Armenian,1,Christianity,94.50589714793711,9.67150366219945,N,EUR,Europe,5,"Asia, Central",63,99,ARM,2958000,4
AA,Aruba,105069,9,,,4,nld,Dutch,1,Christianity,95.4753252830189,9.892979561842621,N,NAR,"North America",12,"America, North and Caribbean",43,98,ABW,106000,
AS,Australia,25197535,179,20,867440,5,eng,English,1,Christianity,65.3827337499889,14.464599957154,N,AUS,Australia,1,"Australia and Pacific",86,99,AUS,25203000,24
AU,Austria,8906902,44,8,356350,3,deu,"German, Standard",1,Christianity,82.8848879017942,0.595744379765598,N,EUR,Europe,10,"Europe, Western",58,98,AUT,8955000,10
AJ,Azerbaijan,10023849,38,24,9692332,1,azj,"Azerbaijani, North",6,Islam,2.64690178902317,0.247294971082515,Y,ASI,Asia,5,"Asia, Central",56,99,AZE,10048000,208
BF,Bahamas,386525,9,,,5,eng,English,1,Christianity,94.45931683804631,39.6090589211303,N,NAR,"North America",12,"America, North and Caribbean",83,97,BHS,389000,
BA,Bahrain,1619294,16,7,1257440,4,arb,"Arabic, Standard",6,Islam,8.28992851918559,2.50327232175503,Y,ASI,Asia,6,"Africa, North and Middle East",89,95,BHR,1641000,27
BG,Bangladesh,162309346,333,301,160412276,1,ben,Bengali,6,Islam,0.340149138316321,,Y,ASI,Asia,4,"Asia, South",37,58,BGD,163046000,3413
BB,Barbados,283340,5,1,4003,5,eng,English,1,Christianity,92.6134604529617,33.5975278745645,N,NAR,"North America",12,"America, North and Caribbean",31,99,BRB,287000,1
BO,Belarus,9408289,26,5,25321,3,bel,Belarusian,1,Christianity,69.4431582289463,1.67387971429976,N,EUR,Europe,9,"Europe, Eastern and Eurasia",79,100,BLR,9452000,5
BE,Belgium,11467790,91,26,938696,3,vls,Vlaams,1,Christianity,64.2592914639097,1.42090395467621,N,EUR,Europe,10,"Europe, Western",98,100,BEL,11539000,38
BH,Belize,367780,13,1,3470,5,eng,English,1,Christianity,85.99868155364651,23.3898086518053,N,NAR,"North America",11,"America, Latin",46,89,BLZ,390000,1
BN,Benin,11767197,63,13,2202988,4,fra,French,1,Christianity,31.5693455458448,7.46978338419162,Y,AFR,Africa,8,"Africa, West and Central",47,38,BEN,11801000,48
BD,Bermuda,61799,7,,,5,eng,English,1,Christianity,91.65388317460319,26.2927461271131,N,NAR,"North America",12,"America, North and Caribbean",100,98,BMU,63000,
BT,Bhutan,759344,76,73,756404,1,dzo,Dzongkha,2,Buddhism,0.276385091552063,,Y,ASI,Asia,4,"Asia, South",41,65,BTN,763000,78
BL,Bolivia,11460379,48,2,2900,5,spa,Spanish,1,Christianity,92.44285948840449,19.3380113615093,N,LAM,"South America",11,"America, Latin",69,93,BOL,11513000,2
