Joshua Project People Group Data

ROL3,Language,Status,NbrPGICs,JPScale,LeastReached,BibleStatus,BibleYear,NTYear,PortionsYear,JF,AudioRecordings,YouVersion_ID,RLG3,PrimaryReligion
aou,A'ou,N,,,N,0,,,,N,N,,,
aiw,Aari,L,1,5,N,4,,1997,Yes,Y,Y,,4,"Ethnic Religions"
aas,Aasax,N,,,N,0,,,,N,N,,,
kbt,Abadi,L,1,5,N,3,,,2016,N,N,,1,Christianity
abf,"Abai Sungai",L,1,1,Y,0,,,,N,N,,6,Islam
abm,Abanyom,L,1,5,N,2,,,,N,Y,,1,Christianity
aau,Abau,L,1,5,N,4,,2006-2013,1990,Y,Y,1015,1,Christianity
abq,Abaza,L,2,1,Y,0,,,,N,N,,6,Islam
aba,Abe,L,1,4,N,3,,,1967-1980,N,Y,,1,Christianity
aaq,"Abenaki, Eastern",N,,,N,0,,,,N,N,,,
abe,"Abenaki, Western",N,,,N,3,,,1844,N,N,,,
abi,Abidji,L,1,4,N,4,,2001,1978-1988,Y,Y,,1,Christianity
bsa,Abinomn,L,1,4,N,1,,,,N,N,,1,Christianity
pcn,Abishi,L,1,4,N,1,,,,N,Y,,1,Christianity
abk,Abkhaz,L,6,2,N,4,,1912-2004,1981,Y,N,,6,Islam
aob,Abom,N,,,N,0,,,,N,N,,,
abo,Abon,L,1,4,N,1,,,,N,Y,,1,Christianity
abr,Abron,L,2,5,N,2,,,,N,Y,,1,Christianity
ado,Abu,L,1,5,N,3,,,2006,N,Y,,1,Christianity
abn,Abua,L,1,5,N,4,,1978,1967-1990,N,Y,,1,Christianity
abz,Abui,L,1,5,N,1,,,,N,Y,,1,Christianity
kgr,Abun,L,1,5,N,4,,2004,1991-1995,N,Y,,1,Christianity
abu,Abure,L,1,4,N,2,,,,N,Y,,1,Christianity
mgj,Abureni,L,1,4,N,2,,,,N,N,,1,Christianity
ace,Aceh,L,1,1,Y,5,1997,1996,1973,N,Y,,6,Islam
aca,Achagua,L,1,5,N,3,,,1986–2013,N,Y,1418,1,Christianity
acn,Achang,L,4,5,N,5,2011,1992-2005,Yes,N,Y,373,4,"Ethnic Religions"
guq,Ache,L,1,4,N,4,,2014,1978-2007,Y,Y,,1,Christianity
yif,Ache,L,1,1,Y,1,,,,N,Y,,4,"Ethnic Religions"
acz,Acheron,L,1,1,Y,2,,,,N,Y,,6,Islam
acr,Achi,L,2,4,N,4,,1984-2009,1962-1993,Y,Y,3,1,Christianity
ach,Acholi,L,2,5,N,5,1986,1933,1905-1962,Y,Y,733,1,Christianity
act,Achterhoeks,L,,,N,3,,,2002,N,N,,,
acu,Achuar-Shiwiar,L,2,2,N,4,,1981-2019,1973-1988,Y,Y,4,4,"Ethnic Religions"
acv,Achumawi,N,,,N,0,,,,N,Y,,,
acp,"Acipa, Eastern",L,1,4,N,1,,,,N,N,,4,"Ethnic Religions"
adb,Adabe,L,1,4,N,1,,,,N,N,,1,Christianity
ads,"Adamorobe Sign Language",L,,,N,1,,,,N,N,,,
adn,Adang,L,1,4,N,1,,,,N,Y,,1,Christianity
adq,Adangbe,L,2,5,N,1,,,,N,Y,,1,Christianity
kad,Adara,L,1,4,N,3,,,Yes,Y,Y,,1,Christianity
tiu,Adasen,L,1,4,N,4,,1990,Yes,N,Y,,4,"Ethnic Religions"
ade,Adele,L,2,4,N,4,,1996-2001,1992-1993,Y,Y,,4,"Ethnic Religions"
adh,Adhola,L,1,5,N,5,2018,2003,1977-1979,Y,Y,,1,Christianity
adi,Adi,L,128,3,N,5,2005-2009,1988-2003,1932-1986,Y,Y,adi,9,Unknown
adl,"Adi, Galo",L,2,3,N,4,,2008,Yes,Y,Y,adl,9,Unknown
adj,Adioukrou,L,1,4,N,5,1979,1999,1927-1994,Y,Y,adj,1,Christianity
adt,Adnyamathanha,N,,,N,0,,,,N,N,,,
adr,Adonara,L,1,4,N,1,,,,N,N,,1,Christianity
adu,Aduge,L,1,4,N,1,,,,N,N,,4,"Ethnic Religions"
ady,Adyghe,L,14,1,Y,4,,1991,1977-2007,Y,Y,,6,Islam
adz,Adzera,L,2,5,N,4,,1976,1968-2001,Y,Y,1229,1,Christianity
aez,Aeka,L,1,5,N,4,,1988,1956,N,Y,,1,Christianity
awi,Aekyom,L,1,5,N,4,,1987,1958-1964,N,Y,,1,Christianity
aeq,Aer,L,1,1,Y,1,,,,N,N,,6,Islam
aal,Afade,L,2,1,Y,1,,,,N,Y,,6,Islam
aar,Afar,L,3,1,Y,5,2013,1994,1975-1986,Y,Y,,6,Islam
afg,"Afghan Sign Language",L,1,,N,1,,,,N,N,,6,Islam
aft,Afitti,L,1,1,Y,1,,,,N,N,,6,Islam
afr,Afrikaans,L,18,5,N,5,1933-2000,1941-1980,1893-1929,Y,Y,6,1,Christianity
afs,"Afro-Seminole Creole",N,2,3,N,0,,,,N,N,,1,Christianity
agd,Agarabi,L,1,5,N,4,,2010,1970,Y,Y,935,1,Christianity
agi,Agariya,L,1,1,Y,1,,,,N,Y,,5,Hinduism
agc,Agatu,L,1,4,N,4,,1984,1951-1968,Y,Y,,1,Christianity
