Joshua Project People Group Data

ROG3,Ctry,PeopleID3,ROP3,PeopNameAcrossCountries,PeopNameInCountry,Population,JPScale,LeastReached,ROL3,PrimaryLanguageName,BibleStatus,RLG3,PrimaryReligion,PercentAdherents,PercentEvangelical,PeopleID1,ROP1,AffinityBloc,PeopleID2,ROP2,PeopleCluster,CountOfCountries,RegionCode,RegionName,ROG2,Continent,10_40Window,IndigenousCode,WorkersNeeded,Frontier,Latitude,Longitude
AF,Afghanistan,14372,107989,"Afghan, Tajik","Afghan, Tajik",10246000,1,Y,prs,Dari,5,6,Islam,0.010,0.010,14,A005,Persian-Median,268,C0179,Persian,3,5,"Asia, Central",ASI,Asia,Y,Y,205,Y,31.15621,62.14612
AF,Afghanistan,19409,100096,Afshari,Afshari,14000,1,Y,azb,"Azerbaijani, South",5,6,Islam,0.039,0.039,24,A015,"Turkic Peoples",126,C0028,Azerbaijani,2,5,"Asia, Central",ASI,Asia,Y,N,1,Y,34.447959999954,69.2897600000239
AF,Afghanistan,21454,118270,Aimaq,Aimaq,1558000,1,Y,aiq,Aimaq,1,6,Islam,0.000,0.000,14,A005,Persian-Median,268,C0179,Persian,4,5,"Asia, Central",ASI,Asia,Y,Y,31,Y,35.00501,63.128594
AF,Afghanistan,15741,110448,"Americans, U.S.","Americans, U.S.",13000,5,N,eng,English,5,1,Christianity,84.500,30.000,18,A009,"North American Peoples",109,C0011,Anglo-American,104,5,"Asia, Central",ASI,Asia,Y,N,,N,34.528621,69.168549
AF,Afghanistan,16221,111334,Ansari,Ansari,2400,1,Y,urd,Urdu,5,6,Islam,0.000,0.000,21,A012,"South Asian Peoples",452,A012,"South Asia Muslim - Ansari",6,5,"Asia, Central",ASI,Asia,Y,N,1,Y,34.5477699999855,69.3198000003697
AF,Afghanistan,15202,109734,"Arab, Tajiki","Arab, Tajiki",17000,1,Y,abh,"Arabic, Tajiki Spoken",1,6,Islam,0.200,0.200,10,A001,"Arab World",324,C0237,"Arab World, general",2,5,"Asia, Central",ASI,Asia,Y,N,1,N,36.9447,66.80422
AF,Afghanistan,16239,111360,"Arora (Hindu traditions)","Arora (Hindu traditions)",1500,1,Y,skr,Saraiki,3,5,Hinduism,0.000,0.000,21,A012,"South Asian Peoples",442,A012,"South Asia Hindu - Other",3,5,"Asia, Central",ASI,Asia,Y,N,1,Y,36.187213,70.98060599999999
AF,Afghanistan,15356,110770,"Baloch, Western","Baloch, Western",457000,1,Y,bgn,"Balochi, Western",3,6,Islam,0.009,0.009,21,A012,"South Asian Peoples",455,A012,"South Asia Muslim - Baloch",3,5,"Asia, Central",ASI,Asia,Y,Y,9,Y,30.24139,63.20176
AF,Afghanistan,19423,115168,"Bania (Muslim traditions)","Bania (Muslim traditions)",6300,1,Y,urd,Urdu,5,6,Islam,0.230,0.200,21,A012,"South Asian Peoples",462,A012,"South Asia Muslim - Other",1,5,"Asia, Central",ASI,Asia,Y,N,1,N,34.375787,69.435276
AF,Afghanistan,16521,111696,Brahmin,Brahmin,3600,1,Y,urd,Urdu,5,5,Hinduism,0.000,0.000,21,A012,"South Asian Peoples",417,A012,"South Asia Forward Caste - Brahmin",7,5,"Asia, Central",ASI,Asia,Y,N,1,Y,34.294237,69.39251899999999
