Joshua Project People Group Data

TableName,FieldName,FieldDescription,FieldType
jpabsum,AffinityBloc,"Affinity Bloc name",Text
jpabsum,NbrLR,"Number of least-reached People Groups in Country (PGIC)","Long Integer"
jpabsum,NbrPC,"Number of People Clusters","Long Integer"
jpabsum,NbrPCLR,"Number of least-reached People Clusters","Long Integer"
jpabsum,NbrPGAC,"Number of People Groups Across Countries (PGAC)","Long Integer"
jpabsum,NbrPGIC,"Number of People Groups In Country (PGIC)","Long Integer"
jpabsum,PeopleID1,"Affinity Bloc code","Long Integer"
jpabsum,PercentLR,"Percent least-reached",Single
jpabsum,PercentPoplLR,"Percent Affinity Bloc population in least-reached peoples",Single
jpabsum,ROP1,"Registry of Peoples - Affinity Bloc ID",Text
jpabsum,SumAB,"Affinity Bloc population (summed from people group populations)",Single
jpabsum,SumABLR,"Affinity Bloc least-reached peoples population",Single
jpabsum,WorkersNeeded,"Estimated workers needed based on 1:50,000","Long Integer"
jpcontinentsum,Cnt1040Window,"Count of 10/40 Window countries in continent","Long Integer"
jpcontinentsum,Continent,"Continent name",Text
jpcontinentsum,NbrCountries,"Number of countries in continent","Long Integer"
jpcontinentsum,NbrCountriesLR,"Number of countries considered least-reached in continent","Long Integer"
jpcontinentsum,NbrLR,"Number of least-reached people groups in continent","Long Integer"
jpcontinentsum,NbrPGIC,"Number of people groups in continent","Long Integer"
jpcontinentsum,PercentChristian,"Continent percent Christian Adherents (generated from people group % Christian Adherents)",Double
jpcontinentsum,PercentEvangelical,"Continent percent  Christian Evangelicals (generated from people group % Evangelicals)",Double
jpcontinentsum,PercentLR,"Percent of least-reached people groups in continent",Double
jpcontinentsum,PercentPoplLR,"Percent of groups considered least-reached in continent",Double
jpcontinentsum,PercentUrbanized,"Continent percent urbanized",Double
jpcontinentsum,ROG2,"Continent code",Text
jpcontinentsum,SumContinent,"Population of continent (summed from people group populations)",Double
jpcontinentsum,SumContinentLR,"Population of least-reached people groups in continent",Double
jpcontinentsum,WorkersNeeded,"Estimated workers needed based on 1:50,000","Long Integer"
