Joshua Project People Group Data

PeopleID3,ROG3,ROL3,ROL4,Language,LanguageDialect,LanguageRank,Speakers
10350,AA,pap,0,Papiamentu,Papiamentu,P,84409
11659,AA,nld,0,Dutch,Dutch,P,4277
12035,AA,hat,0,"Haitian Creole","Haitian Creole",P,1128
12051,AA,cmn,0,"Chinese, Mandarin","Chinese, Mandarin",P,849
12316,AA,jam,0,"Jamaican Creole English","Jamaican Creole English",P,577
13003,AA,spa,0,Spanish,Spanish,P,11638
15175,AA,tgl,0,Tagalog,Tagalog,P,846
15741,AA,eng,0,English,English,P,550
19007,AA,xxx,0,Unknown,"Language unknown",P,795
10348,AC,aig,0,"Antigua and Barbuda Creole English","Antigua and Barbuda Creole English",S,
10348,AC,eng,0,English,English,P,
11140,AC,eng,0,English,English,P,3246
13862,AC,aig,0,"Antigua and Barbuda Creole English","Antigua and Barbuda Creole English",P,2719
15741,AC,eng,0,English,English,P,10627
19007,AC,xxx,0,Unknown,"Language unknown",P,482
10376,AE,afb,0,"Arabic, Gulf Spoken","Arabic, Gulf Spoken",P,
10378,AE,acx,0,"Arabic, Omani Spoken","Arabic, Omani Spoken",P,30717
10429,AE,hye,0,Armenian,Armenian,P,
10429,AE,hyw,0,"Armenian, Western","Armenian, Western",S,
10790,AE,ben,7966,Bengali,"Bengali: Siripuria",P,75163
11277,AE,tha,0,Thai,Thai,P,3222
11722,AE,arz,0,"Arabic, Egyptian Spoken","Arabic, Egyptian Spoken",P,996642
12046,AE,afb,0,"Arabic, Gulf Spoken","Arabic, Gulf Spoken",P,190000
12076,AE,haz,0,Hazaragi,Hazaragi,P,98808
12247,AE,acm,0,"Arabic, Mesopotamian Spoken","Arabic, Mesopotamian Spoken",P,50000
12322,AE,jpn,0,Japanese,Japanese,P,
12368,AE,apc,0,"Arabic, North Levantine Spoken","Arabic, North Levantine Spoken",P,25598
13017,AE,apc,0,"Arabic, North Levantine Spoken","Arabic, North Levantine Spoken",P,27000
13317,AE,npi,0,Nepali,Nepali,P,98000
13437,AE,zlm,0,Malay,Malay,P,29247
14256,AE,pbu,0,"Pashto, Northern","Pashto, Northern",P,389931
14276,AE,ajp,0,"Arabic, South Levantine Spoken","Arabic, South Levantine Spoken",P,100000
14371,AE,pes,0,"Persian, Iranian","Persian, Iranian",P,311739
14784,AE,acw,0,"Arabic, Hijazi Spoken","Arabic, Hijazi Spoken",P,380671
14908,AE,ssh,0,"Arabic, Shihhi Spoken","Arabic, Shihhi Spoken",P,19548
14971,AE,sqt,0,Soqotri,Soqotri,P,15463
14983,AE,som,0,Somali,Somali,P,40957
15034,AE,bcc,0,"Balochi, Southern","Balochi, Southern",P,389931
15104,AE,apd,0,"Arabic, Sudanese Spoken","Arabic, Sudanese Spoken",P,29000
15152,AE,apc,0,"Arabic, North Levantine Spoken","Arabic, North Levantine Spoken",P,48500
15175,AE,tgl,0,Tagalog,Tagalog,P,
15198,AE,acq,3364,"Arabic, Taizzi-Adeni Spoken","Arabic, Taizzi-Adeni Spoken: Ta'izzi",P,16106
17433,AE,mal,0,Malayalam,Malayalam,P,
18274,AE,tur,0,Turkish,Turkish,P,10047
19007,AE,xxx,0,Unknown,"Language unknown",P,19540
19206,AE,cmn,0,"Chinese, Mandarin","Chinese, Mandarin",P,32273
19211,AE,hin,0,Hindi,Hindi,P,
19211,AE,urd,0,Urdu,Urdu,S,
10453,AF,ask,0,Ashkun,Ashkun,P,47192
10703,AF,bsh,3341,Kati,"Kati: Kiti",P,141015
10959,AF,brh,0,Brahui,Brahui,P,315042
11126,AF,ckb,0,"Kurdish, Central","Kurdish, Central",P,263498
11140,AF,eng,0,English,English,P,1123
11510,AF,prs,0,Dari,Dari,P,15748
11597,AF,rmt,9376,Domari,"Domari: Churi-wali",P,10870
11835,AF,gwt,0,Gawar-Bati,Gawar-Bati,P,37863
11871,AF,deu,0,"German, Standard","German, Standard",P,2838
11936,AF,nli,0,Grangali,Grangali,P,11017
12076,AF,haz,0,Hazaragi,Hazaragi,P,3802282
12273,AF,ita,0,Italian,Italian,P,1884
12482,AF,xvi,11490,Kamviri,"Kamviri: Shekhani",P,21236
12526,AF,kaa,11588,Karakalpak,"Karakalpak: Southwest Karakalpak",P,3157
12599,AF,kaz,11758,Kazakh,"Kazakh: Western Kazakh",P,3157
12741,AF,gwc,11381,Kalami,"Kalami: Ushu",P,1884
12933,AF,kir,0,Kyrgyz,Kyrgyz,P,1241
13431,AF,prs,0,Dari,Dari,P,3157
13761,AF,mhj,0,Mogholi,Mogholi,S,
13761,AF,prs,0,Dari,Dari,P,
13878,AF,mnj,14417,Munji,"Munji: Southern Munji",P,6794
13996,AF,aee,0,"Pashai, Northeast","Pashai, Northeast",P,
13996,AF,psi,15537,"Pashai, Southeast","Pashai, Southeast: Southeast",S,
14042,AF,glh,3338,"Pashai, Northwest","Pashai, Northwest: Wadahu",P,93655
14192,AF,snd,16748,Sindhi,"Sindhi: Visholi",P,23626
14255,AF,phv,0,Pahlavani,Pahlavani,S,
14255,AF,prs,0,Dari,Dari,P,
14256,AF,pbu,0,"Pashto, Northern","Pashto, Northern",P,2686713
14311,AF,prc,0,Parachi,Parachi,P,
14322,AF,prd,0,Parsi-Dari,Parsi-Dari,S,
14322,AF,prs,0,Dari,Dari,P,
14324,AF,paq,0,Parya,Parya,P,346
14327,AF,pbt,0,"Pashto, Southern","Pashto, Southern",P,9338177
14371,AF,pes,0,"Persian, Iranian","Persian, Iranian",P,647451
14372,AF,prs,0,Dari,Dari,P,10246165
14461,AF,prn,0,Prasuni,Prasuni,P,9438
14483,AF,pan,15478,"Punjabi, Eastern","Punjabi, Eastern: Powadhi",P,5828
14498,AF,azj,0,"Azerbaijani, North","Azerbaijani, North",S,
14498,AF,prs,0,Dari,Dari,P,
14570,AF,rmn,3403,"Romani, Balkan","Romani, Balkan: Zargari",P,16699
14598,AF,rus,16118,Russian,"Russian: South Russian",P,902
14727,AF,sgy,0,Sanglechi,Sanglechi,P,2709
14782,AF,sdg,0,Savi,Savi,P,4725
14921,AF,sgh,0,Shughni,Shughni,P,44257
14924,AF,sts,0,Shumashti,Shumashti,P,1572
15025,AF,psi,0,"Pashai, Southeast","Pashai, Southeast",P,534394
15072,AF,psh,0,"Pashai, Southwest","Pashai, Southwest",P,117979
15202,AF,abh,0,"Arabic, Tajiki Spoken","Arabic, Tajiki Spoken",P,
15202,AF,prs,0,Dari,Dari,S,
15202,AF,tgk,0,Tajik,Tajik,S,
15253,AF,prs,0,Dari,Dari,P,15748
15356,AF,bgn,7624,"Balochi, Western","Balochi, Western: Rakhshani",P,456801
15382,AF,pnb,0,"Punjabi, Western","Punjabi, Western",P,36233
15418,AF,pbu,0,"Pashto, Northern","Pashto, Northern",P,3371
15500,AF,pbt,0,"Pashto, Southern","Pashto, Southern",P,
15500,AF,tra,0,Tirahi,Tirahi,S,
15575,AF,trm,0,Tregami,Tregami,P,4129
15654,AF,tuk,0,Turkmen,Turkmen,P,2121980
15735,AF,oru,0,Ormuri,Ormuri,S,
15735,AF,pbt,0,"Pashto, Southern","Pashto, Southern",P,
15741,AF,eng,0,English,English,P,12779
15755,AF,uig,0,Uyghur,Uyghur,P,4725
15756,AF,uzs,0,"Uzbek, Southern","Uzbek, Southern",P,4259165
15822,AF,wbk,0,Waigali,Waigali,P,30847
15866,AF,wrd,0,Warduji,Warduji,P,7878
16221,AF,urd,0,Urdu,Urdu,P,2369
16239,AF,skr,0,Saraiki,Saraiki,P,1496
16521,AF,urd,0,Urdu,Urdu,P,3623
16585,AF,urd,0,Urdu,Urdu,P,2988
17549,AF,gju,10404,Gujari,"Gujari: Western Gujari",P,17748
17714,AF,pan,0,"Punjabi, Eastern","Punjabi, Eastern",P,3157
